activity_id,parent_id,source_id,series_id,assay_id,receptor_species,assay_type,readout,cell_system,orthosteric_agonist,agonist_conc_or_ecxx,endpoint_type,legacy_potency_type,endpoint_relation,legacy_pharmacological_class,quantitative_validity,v21_modeling_role,v21_exclusion_reason,potency_nM,pPotency,endpoint_value,endpoint_unit,efficacy_pct,fold_shift,modulation_direction,intrinsic_activity,evidence_tier,source_location,activity_comment,notes,raw_text_value,raw_standard_text_value,raw_activity_comment,qualitative_result,qualitative_result_source,qualitative_result_confidence,evidence_supported_role,evidence_supported_role_basis,v21_human_review_status,v21_human_review_unit_id,v21_human_review_decision,v21_human_review_decision_detail,compound_id,chembl_molecule_id,canonical_molecule_id,canonical_inchikey,assay_family,assay_context,final_target_valid,final_species_valid,final_identity_valid,final_direction,final_quantitative_type,final_modeling_role,final_exclusion_reason,potency_regression_eligible,pam_binary_eligible,threshold_10uM_eligible,unit_human_decision,row_human_decision,identity_decision,decision_provenance,fc2_divergent_group_id,fc2_divergent_classification,fc2_divergent_disposition
ACTL00001,PARENT0268,PMID_18678919,SR_3amino_thienopyridine,,human_M4,functional,PAM potentiation (literature narrative),,acetylcholine,EC20,EC50,EC50,=,ago_PAM,exact,potency,,629.0,6.2013,629.0,nM,,,PAM,ago_PAM,CORE,First selective M4 PAM (Lilly); species- and probe-dependent ago-PAM (Suratman 2011); ~120-fold ACh potentiation at hM4,,Literature narrative extraction (see compound notes),,,,,,,unresolved_primary_review,unit_requires_primary_review,still_requires_primary_source_review,RU002,,,CMP_LIT0001,CHEMBL3770346,CM00111,CTEGQKDJTBWFHW-UHFFFAOYSA-N,literature narrative,PAM potentiation (literature narrative)||acetylcholine|EC20,yes,no,yes,unresolved_for_numeric_row,narrative_exact,excluded_species_misassigned,rat_annotated_value_misassigned_to_human_M4 (human decision RU002),no,no,no,RU002:excluded_species_misassigned_narrative_potency,"row:correct_direction=unresolved_for_numeric_row,modeling_role=excluded_species_misassigned_potency,potency_regression_eligible=no",,human_decisions.jsonl:RU002;human_row_decisions.jsonl:ACTL00001,,,
ACTL00003,PARENT0098,PMID_18059262,SR_3amino_thienopyridine,,human_M4,functional,PAM potentiation (literature narrative),,acetylcholine,EC20,EC50,EC50,=,pure_PAM,exact,potency,,400.0,6.3979,400.0,nM,,,PAM,unknown,CORE,First-generation Vanderbilt HTS M4 PAM; 47-fold ACh potentiation at rM4 ~400 nM (Shirey 2008; Brady 2008),,Literature narrative extraction (see compound notes),,,,,,,unresolved_primary_review,unit_requires_primary_review,still_requires_primary_source_review,RU001,,,CMP_LIT0003,CHEMBL1212994,CM00173,FPRULFHDSFKYBV-UHFFFAOYSA-N,literature narrative,PAM potentiation (literature narrative)||acetylcholine|EC20,yes,no,yes,PAM,narrative_exact,excluded_nonhuman_misassigned,rat_M4_potency_misassigned_to_human_M4_narrative_row (human decision RU001),no,no,no,RU001:excluded_nonhuman_misassigned_narrative_potency,"row:correct_direction=PAM,modeling_role=excluded_nonhuman_misassigned_human_potency,potency_regression_eligible=no",,human_decisions.jsonl:RU001;human_row_decisions.jsonl:ACTL00003,,,
ACTL00004,PARENT0869,PMID_18772318,SR_3amino_thienopyridine,,human_M4,functional,PAM potentiation (literature narrative),,acetylcholine,EC20,EC50,EC50,=,pure_PAM,exact,potency,,1200.0,5.9208,1200.0,nM,,,PAM,unknown,CORE,Centrally active; rM4 Ca2+ 403 nM; hM4 GIRK/thallium 1.2 uM; 30-fold shift at 30 uM,,Literature narrative extraction (see compound notes),,,,,,,unresolved_primary_review,unit_requires_primary_review,still_requires_primary_source_review,RU003,,,CMP_LIT0004,,CM00034,AZOGCTMOKNTHIU-UHFFFAOYSA-N,GIRK/thallium,PAM potentiation (literature narrative)||acetylcholine|EC20,yes,yes,yes,PAM,narrative_exact,exact_potency,,yes,yes,yes,RU003:confirmed_quantitative_pam,"row:correct_direction=PAM,potency_regression_eligible=yes",,human_decisions.jsonl:RU003;human_row_decisions.jsonl:ACTL00004,,,
ACTL00005,PARENT0232,PMID_18772318,SR_3amino_thienopyridine,,human_M4,functional,PAM potentiation (literature narrative),,acetylcholine,EC20,EC50,EC50,=,pure_PAM,exact,potency,,1900.0,5.7212,1900.0,nM,,,PAM,unknown,CORE,Centrally active; rM4 Ca2+ 380 nM; hM4 GIRK 1.9 uM; 70-fold shift at 10 uM,,Literature narrative extraction (see compound notes),,,,,,,unresolved_primary_review,unit_requires_primary_review,still_requires_primary_source_review,RU003,,,CMP_LIT0005,CHEMBL1978713,CM00414,MDNWGCQSCGNTKH-UHFFFAOYSA-N,GIRK/thallium,PAM potentiation (literature narrative)||acetylcholine|EC20,yes,yes,yes,PAM,narrative_exact,exact_potency,,yes,yes,yes,RU003:confirmed_quantitative_pam,"row:correct_direction=PAM,potency_regression_eligible=yes",,human_decisions.jsonl:RU003;human_row_decisions.jsonl:ACTL00005,,,
ACTL00006,PARENT0870,PMID_23177787,SR_3amino_thienopyridine,,human_M4,functional,PAM potentiation (literature narrative),,acetylcholine,EC20,EC50,EC50,=,pure_PAM,exact,potency,,620.0,6.2076,620.0,nM,,,PAM,unknown,EXPLORATORY,Early MLPCN M4 PAM (narrative in ML253 paper); exact structure not resolved in this audit,,Literature narrative extraction (see compound notes),,,,,,,exact_PAM_potency,v2_audit_exact_pam_potency,,,,,CMP_LIT0006,,,,literature narrative,PAM potentiation (literature narrative)||acetylcholine|EC20,yes,unresolved,no,PAM,narrative_exact,identity_failure_no_canonical_structure,no canonical structure / unresolved identity,no,no,no,,,,,,,
ACTL00007,PARENT0871,PMID_23177787,SR_3amino_thienopyridine,,human_M4,functional,PAM potentiation (literature narrative),,acetylcholine,EC20,EC50,EC50,=,pure_PAM,exact,potency,,500.0,6.301,500.0,nM,,,PAM,unknown,EXPLORATORY,Early MLPCN M4 PAM (narrative in ML253 paper); exact structure not resolved in this audit,,Literature narrative extraction (see compound notes),,,,,,,exact_PAM_potency,v2_audit_exact_pam_potency,,,,,CMP_LIT0007,,,,literature narrative,PAM potentiation (literature narrative)||acetylcholine|EC20,yes,unresolved,no,PAM,narrative_exact,identity_failure_no_canonical_structure,no canonical structure / unresolved identity,no,no,no,,,,,,,
ACTL00008,PARENT0194,PMID_23177787,SR_3amino_thienopyridine,,human_M4,functional,PAM potentiation (literature narrative),,acetylcholine,EC20,EC50,EC50,=,pure_PAM,exact,potency,,56.0,7.2518,56.0,nM,,,PAM,unknown,CORE,MLPCN probe; hM4 56 nM; 106-fold (h)/50-fold (r) ACh shift; active in AHL model,,Literature narrative extraction (see compound notes),,,,,,,unresolved_primary_review,unit_requires_primary_review,still_requires_primary_source_review,RU006,,,CMP_LIT0008,CHEMBL2057417,CM00796,XNCQMFVABACABG-UHFFFAOYSA-N,literature narrative,PAM potentiation (literature narrative)||acetylcholine|EC20,yes,unresolved,yes,unresolved,narrative_exact,unresolved_primary_review_nonblocking,narrative row still requires primary-source review (no human decision),no,no,no,,,,,,,
ACTL00009,PARENT0123,PMID_23762944,SR_benzothiazole_isonicotinamide,,human_M4,functional,PAM potentiation (literature narrative),,acetylcholine,EC20,EC50,EC50,=,pure_PAM,exact,potency,,1300.0,5.8861,1300.0,nM,,,PAM,unknown,CORE,hM4 1.3 uM; 14.6-fold shift; brain penetrant; selective vs M1/M2/M3/M5,,Literature narrative extraction (see compound notes),,,,,,,unresolved_primary_review,unit_requires_primary_review,still_requires_primary_source_review,RU007,,,CMP_LIT0009,CHEMBL2057392,CM00408,MADRUEVBYJEFFT-UHFFFAOYSA-N,literature narrative,PAM potentiation (literature narrative)||acetylcholine|EC20,yes,unresolved,yes,unresolved,narrative_exact,unresolved_primary_review_nonblocking,narrative row still requires primary-source review (no human decision),no,no,no,,,,,,,
ACTL00010,PARENT0312,PMID_25137629,SR_thienopyridazine,,human_M4,functional,PAM potentiation (literature narrative),,acetylcholine,EC20,EC50,EC50,=,pure_PAM,exact,potency,,627.0,6.2027,627.0,nM,,,PAM,unknown,CORE,Gold-standard M4 PAM in vivo tool; rM4 17.7 nM; hM4 627 nM; cyno ~1 uM; adenosine transporter off-target,,Literature narrative extraction (see compound notes),,,,,,,unresolved_primary_review,unit_requires_primary_review,still_requires_primary_source_review,RU009,,,CMP_LIT0010,CHEMBL3915634,CM00666,UDSFKIFLJPECRN-UHFFFAOYSA-N,literature narrative,PAM potentiation (literature narrative)||acetylcholine|EC20,yes,unresolved,yes,unresolved,narrative_exact,unresolved_primary_review_nonblocking,narrative row still requires primary-source review (no human decision),no,no,no,,,,,,,
ACTL00013,PARENT0872,PMID_39140069,SR_tricyclic_pyridothienopyrimidine,,human_M4,functional,PAM potentiation (literature narrative),,acetylcholine,EC20,EC50,EC50,=,pure_PAM,exact,potency,,72.0,7.1427,72.0,nM,,,PAM,unknown,CORE,Tricyclic M4 PAM with improved CYP450 profile; hM4 72 nM,,Literature narrative extraction (see compound notes),,,,,,,unresolved_primary_review,unit_requires_primary_review,still_requires_primary_source_review,RU018,,,CMP_LIT0013,,CM00709,VGCWSYQSDJETQR-UHFFFAOYSA-N,literature narrative,PAM potentiation (literature narrative)||acetylcholine|EC20,yes,yes,no,PAM,narrative_exact,identity_conflation_excluded,compound_identity_activity_structure_conflation (human decision RU018),no,no,no,RU018:excluded_identity_conflated_narrative_activity,"row:correct_direction=PAM,modeling_role=excluded_identity_mismatched_activity,potency_regression_eligible=no",PARENT0872:conflated_narrative_entity,human_decisions.jsonl:RU018;human_row_decisions.jsonl:ACTL00013;human_identity_decisions.jsonl:PARENT0872,,,
