assay_id,chembl_assay_id,assay_name,source_ids,receptor_species,receptor_construct,cell_system,readout,assay_family,functional_or_binding,orthosteric_agonist,agonist_conc_or_ecxx,pam_relevant,n_activities,n_core_activities,n_exact_potency_activities,normalization_notes
ASSY_CHEMBL1110550,CHEMBL1110550,Potentiation of muscarinic M4 receptor expressed in CHO cells co-transfected with Gqi5 assessed as effect on acetylcholine-induced intracellular calcium mobilization up to 30 uM after 1 hr by FLIPR assay,CHEMBLDOC1155388,Homo sapiens,,CHO,PAM_functional_calcium,calcium,functional,acetylcholine,,True,1,0,0,
ASSY_CHEMBL1112719,CHEMBL1112719,Positive allosteric modulator activity at human muscarinic M4 receptor expressed in CHO cells assessed as effect on acetylcholine-induced intracellular calcium mobilization by FLIPR assay,PMID_20303264,Homo sapiens,,CHO,PAM_functional_calcium,calcium,functional,acetylcholine,,True,33,0,0,
ASSY_CHEMBL1218681,CHEMBL1218681,Allosteric activation of human recombinant muscarinic M4 receptor expressed in CHO cells assessed as potentiation of acetylcholine-induced calcium mobilization after 1 hr by fluorescence assay,PMID_18059262,Homo sapiens,,CHO,PAM_functional_calcium,calcium,functional,acetylcholine,,True,4,0,0,
ASSY_CHEMBL1260776,CHEMBL1260776,Positive allosteric modulation of muscarinic M4 receptor expressed in CHO cells co-expressing Gqi5 assessed as effect on acetylcholine-induced intracellular calcium mobilization after 1 hr by FLIPR assay,CHEMBLDOC1255557,Homo sapiens,,CHO,PAM_functional_calcium,calcium,functional,acetylcholine,,True,1,0,0,
ASSY_CHEMBL1260778,CHEMBL1260778,Positive allosteric modulation of muscarinic M4 receptor expressed in CHO cells co-expressing Gqi5 assessed as potentiation of acetylcholine-induced intracellular calcium mobilization at 30 uM after 1 hr by FLIPR assay relative to acetylcholine,CHEMBLDOC1255557,Homo sapiens,,CHO,PAM_functional_calcium,calcium,functional,acetylcholine,,True,2,0,0,
ASSY_CHEMBL2044734,CHEMBL2044734,Agonist activity at human muscarinic M4 receptor expressed in CHO-NFAT cells assessed as potentiation of acetylcholine-induced calcium flux at up to 100 uM after 1 hr by FLIPR assay,PMID_24900206,Homo sapiens,,CHO-NFAT,PAM_functional_calcium,calcium,functional,acetylcholine,,True,1,0,0,
ASSY_CHEMBL2060889,CHEMBL2060889,Positive allosteric modulation of human M4 receptor expressed in CHO-K1 cells assessed as leftward shift in Ach response at 30 uM incubated for 144 secs prior to acetylcholine addition measured for 5 mins by Fluo-4-AM based calcium mobilization assay relative to control,PMID_22738637,Homo sapiens,,CHO-K1,PAM_functional_calcium,calcium,functional,acetylcholine,,True,1,0,0,
ASSY_CHEMBL2060894,CHEMBL2060894,Positive allosteric modulation of human M4 receptor expressed in CHO-K1 cells coexpressing Gqi5 assessed as potentiation of acetylcholine-mediated calcium mobilization incubated for 144 secs prior to acetylcholine addition by Fluo-4-AM staining relative to acetylcholine,PMID_22738637,Homo sapiens,,CHO-K1,PAM_functional_calcium,calcium,functional,acetylcholine,,True,19,0,0,
ASSY_CHEMBL2060895,CHEMBL2060895,Positive allosteric modulation of human M4 receptor expressed in CHO-K1 cells coexpressing Gqi5 assessed as potentiation of acetylcholine-mediated calcium mobilization incubated for 144 secs prior to acetylcholine addition by Fluo-4-AM staining,PMID_22738637,Homo sapiens,,CHO-K1,PAM_functional_calcium,calcium,functional,acetylcholine,,True,56,56,8,
ASSY_CHEMBL2212431,CHEMBL2212431,Activity at muscarinic M4 receptor expressing in CHONFAT cells assessed as potentiation of acetylcholine-induced calcium mobilization preincubated for 4 mins and measured 4 mins after acetylcholine stimulation by FLIPR assay,PMID_24900430,Homo sapiens,,CHONFAT,PAM_functional_calcium,calcium,functional,acetylcholine,,True,33,0,0,
ASSY_CHEMBL2318872,CHEMBL2318872,Positive allosteric modulator activity at human muscarinic M4 receptor by calcium mobilization assay,CHEMBLDOC2311253,Homo sapiens,,,PAM_functional_calcium,calcium,functional,,,True,1,0,0,
