canonical_molecule_id,canonical_inchikey,canonical_smiles,canonical_inchi,identity_status,canonical_representative_parent_id,all_parent_ids,all_chembl_ids,all_names,all_aliases,identity_decision,identity_decision_provenance,member_notes,modeling_eligibility_note,collision_report
CM00001,ABXGTNGUHIUIPP-HWHTXHROSA-N,CCC[N+]12CC[C@@]34c5ccccc5N5C(=O)C[C@@H]6OCC=C(C1)[C@H](C[C@@H]32)[C@@H]6[C@H]54,"InChI=1S/C24H29N2O2/c1-2-9-26-10-8-24-17-5-3-4-6-18(17)25-21(27)13-19-22(23(24)25)16(12-20(24)26)15(14-26)7-11-28-19/h3-7,16,19-20,22-23H,2,8-14H2,1H3/q+1/t16-,19-,20-,22-,23-,24+,26?/m0/s1",confirmed_structure,PARENT0056,PARENT0056,CHEMBL141736,,,,human_audit/label_blind_primary_review_001/human_identity_decisions.jsonl,"PARENT0056:chembl=CHEMBL141736,class=other_context",,
CM00002,ACALNJUTYOTFKG-UHFFFAOYSA-N,Cc1ccc(-c2cn(CC3CCCC3)nn2)c(-c2ccc3c(c2)C(=O)N(C)C3)n1,"InChI=1S/C23H25N5O/c1-15-7-10-19(21-14-28(26-25-21)12-16-5-3-4-6-16)22(24-15)17-8-9-18-13-27(2)23(29)20(18)11-17/h7-11,14,16H,3-6,12-13H2,1-2H3",confirmed_structure,PARENT0866,PARENT0866,CHEMBL5624702,,,,human_audit/label_blind_primary_review_001/human_identity_decisions.jsonl,"PARENT0866:chembl=CHEMBL5624702,class=pure_PAM",,
CM00003,ACDNCVGTRQWKMN-UHFFFAOYSA-N,Cc1c2c(N)c(C(=O)NC3CN(c4ccc(F)c(F)c4)C3)ccc2nn1C,"InChI=1S/C19H19F2N5O/c1-10-17-16(24-25(10)2)6-4-13(18(17)22)19(27)23-11-8-26(9-11)12-3-5-14(20)15(21)7-12/h3-7,11H,8-9,22H2,1-2H3,(H,23,27)",confirmed_structure,PARENT0639,PARENT0639,CHEMBL4642005,,,,human_audit/label_blind_primary_review_001/human_identity_decisions.jsonl,"PARENT0639:chembl=CHEMBL4642005,class=pure_PAM",,
CM00004,ACMLGIFGCCVFKR-UHFFFAOYSA-N,N#Cc1cnc2ccc(F)cc2c1N1CCC(Oc2cccnc2)CC1,"InChI=1S/C20H17FN4O/c21-15-3-4-19-18(10-15)20(14(11-22)12-24-19)25-8-5-16(6-9-25)26-17-2-1-7-23-13-17/h1-4,7,10,12-13,16H,5-6,8-9H2",confirmed_structure,PARENT0380,PARENT0380,CHEMBL4096463,,,,human_audit/label_blind_primary_review_001/human_identity_decisions.jsonl,"PARENT0380:chembl=CHEMBL4096463,class=weak_PAM",,
CM00005,ACUBTKJTXUPFDJ-UHFFFAOYSA-N,CC1(C)CC(=O)n2c3ccccc3c3c4c(cc1c32)CCNC4,"InChI=1S/C20H20N2O/c1-20(2)10-17(23)22-16-6-4-3-5-13(16)18-14-11-21-8-7-12(14)9-15(20)19(18)22/h3-6,9,21H,7-8,10-11H2,1-2H3",confirmed_structure,PARENT0023,PARENT0023,CHEMBL282874,,,,human_audit/label_blind_primary_review_001/human_identity_decisions.jsonl,"PARENT0023:chembl=CHEMBL282874,class=other_context",,
CM00006,ADNXJRWPXNPPPG-UHFFFAOYSA-N,COc1cccc2c3c4c(cc5c3n(c12)C(=O)CC5)CNCC4,"InChI=1S/C19H18N2O2/c1-23-15-4-2-3-14-17-13-7-8-20-10-12(13)9-11-5-6-16(22)21(18(11)17)19(14)15/h2-4,9,20H,5-8,10H2,1H3",confirmed_structure,PARENT0032,PARENT0032,CHEMBL282680,,,,human_audit/label_blind_primary_review_001/human_identity_decisions.jsonl,"PARENT0032:chembl=CHEMBL282680,class=other_context",,
CM00007,ADTDBAKUQAKBGZ-VXJIXCKJSA-N,O=C1C[C@@H]2OCC=C3C[N+]4([O-])CC[C@]56c7ccccc7N1[C@H]5[C@H]2[C@H]3C[C@@H]64,"InChI=1S/C21H22N2O3/c24-18-10-16-19-13-9-17-21(6-7-23(17,25)11-12(13)5-8-26-16)14-3-1-2-4-15(14)22(18)20(19)21/h1-5,13,16-17,19-20H,6-11H2/t13-,16-,17-,19-,20-,21+,23?/m0/s1",confirmed_structure,PARENT0043,PARENT0043,CHEMBL138585,,,,human_audit/label_blind_primary_review_001/human_identity_decisions.jsonl,"PARENT0043:chembl=CHEMBL138585,class=other_context",,
CM00008,AENGNZMXXWOIGO-UHFFFAOYSA-N,O=C(c1ccc2c(c1)c1c3c(cc4c1n2C(=O)CC4)CNCC3)N1CCOCC1,"InChI=1S/C23H23N3O3/c27-20-4-2-14-11-16-13-24-6-5-17(16)21-18-12-15(1-3-19(18)26(20)22(14)21)23(28)25-7-9-29-10-8-25/h1,3,11-12,24H,2,4-10,13H2",confirmed_structure,PARENT0019,PARENT0019,CHEMBL23620,,,,human_audit/label_blind_primary_review_001/human_identity_decisions.jsonl,"PARENT0019:chembl=CHEMBL23620,class=other_context",,
CM00009,AFHJDMPMQZWEMI-UHFFFAOYSA-N,Cc1nnc2sc3c(NCC4CC4)nn(C)c3c2c1C,"InChI=1S/C14H17N5S/c1-7-8(2)16-17-14-10(7)11-12(20-14)13(18-19(11)3)15-6-9-4-5-9/h9H,4-6H2,1-3H3,(H,15,18)",confirmed_structure,PARENT0467,PARENT0467,CHEMBL4592523,,,,human_audit/label_blind_primary_review_001/human_identity_decisions.jsonl,"PARENT0467:chembl=CHEMBL4592523,class=pure_PAM",,
CM00010,AFRMEEZYPRPRRR-UHFFFAOYSA-N,Cc1nnc2ccc(C(=O)NC3CN(c4cc(Cl)ncc4Cl)C3)cn12,"InChI=1S/C16H14Cl2N6O/c1-9-21-22-15-3-2-10(6-24(9)15)16(25)20-11-7-23(8-11)13-4-14(18)19-5-12(13)17/h2-6,11H,7-8H2,1H3,(H,20,25)",confirmed_structure,PARENT0572,PARENT0572,CHEMBL4642498,,,,human_audit/label_blind_primary_review_001/human_identity_decisions.jsonl,"PARENT0572:chembl=CHEMBL4642498,class=weak_PAM",,
