activity_id,class_label,canonical_molecule_id,parent_id,source_id,assay_id,readout,assay_family,endpoint_type,endpoint_relation,potency_nM,receptor_species,positive_evidence_type,negative_evidence_type,negative_evidence_tier,negative_evidence_provenance_group,molecule_has_positive,molecule_has_negative,molecule_label_conflict,molecule_strict_label,decision_provenance,notes
ACTL00004,positive,CM00034,PARENT0869,PMID_18772318,,PAM potentiation (literature narrative),GIRK/thallium,EC50,=,1200.0,human_M4,RU003_human_confirmed_GIRK_thallium,,,,yes,no,no,positive,human_decisions.jsonl:RU003;human_row_decisions.jsonl:ACTL00004,Literature narrative extraction (see compound notes)
ACTL00005,positive,CM00414,PARENT0232,PMID_18772318,,PAM potentiation (literature narrative),GIRK/thallium,EC50,=,1900.0,human_M4,RU003_human_confirmed_GIRK_thallium,,,,yes,no,no,positive,human_decisions.jsonl:RU003;human_row_decisions.jsonl:ACTL00005,Literature narrative extraction (see compound notes)
ACT_10958292,positive,CM00675,PARENT0103,PMID_22738637,ASSY_CHEMBL2060895,PAM_functional_calcium,calcium,EC50,=,1819.7,Homo sapiens,exact_human_M4_PAM_EC50,,,,yes,no,no,positive,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=5.74 (generic negative-log potency)
ACT_10958295,positive,CM00182,PARENT0106,PMID_22738637,ASSY_CHEMBL2060895,PAM_functional_calcium,calcium,EC50,=,1348.96,Homo sapiens,exact_human_M4_PAM_EC50,,,,yes,no,no,positive,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=5.87 (generic negative-log potency)
ACT_10958311,positive,CM00759,PARENT0122,PMID_22738637,ASSY_CHEMBL2060895,PAM_functional_calcium,calcium,EC50,=,2344.23,Homo sapiens,exact_human_M4_PAM_EC50,,,,yes,no,no,positive,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=5.63 (generic negative-log potency)
ACT_10958312,positive,CM00408,PARENT0123,PMID_22738637,ASSY_CHEMBL2060895,PAM_functional_calcium,calcium,EC50,=,1288.25,Homo sapiens,exact_human_M4_PAM_EC50,,,,yes,no,no,positive,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=5.89 (generic negative-log potency)
ACT_10958314,positive,CM00847,PARENT0125,PMID_22738637,ASSY_CHEMBL2060895,PAM_functional_calcium,calcium,EC50,=,1122.02,Homo sapiens,exact_human_M4_PAM_EC50,,,,yes,no,no,positive,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=5.95 (generic negative-log potency)
ACT_10958326,positive,CM00717,PARENT0137,PMID_22738637,ASSY_CHEMBL2060895,PAM_functional_calcium,calcium,EC50,=,7079.46,Homo sapiens,exact_human_M4_PAM_EC50,,,,yes,no,no,positive,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=5.15 (generic negative-log potency)
ACT_10958338,positive,CM00865,PARENT0149,PMID_22738637,ASSY_CHEMBL2060895,PAM_functional_calcium,calcium,EC50,=,7762.47,Homo sapiens,exact_human_M4_PAM_EC50,,,,yes,no,no,positive,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=5.11 (generic negative-log potency)
ACT_10958347,positive,CM00620,PARENT0158,PMID_22738637,ASSY_CHEMBL2060895,PAM_functional_calcium,calcium,EC50,=,2818.38,Homo sapiens,exact_human_M4_PAM_EC50,,,,yes,no,no,positive,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=5.55 (generic negative-log potency)
ACT_12628030,positive,CM00733,PARENT0196,PMID_23177787,ASSY_CHEMBL2320373,PAM_functional_calcium,calcium,EC50,=,1412.54,Homo sapiens,exact_human_M4_PAM_EC50,,,,yes,no,no,positive,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=5.85 (generic negative-log potency)
ACT_12628031,positive,CM00115,PARENT0197,PMID_23177787,ASSY_CHEMBL2320373,PAM_functional_calcium,calcium,EC50,=,933.25,Homo sapiens,exact_human_M4_PAM_EC50,,,,yes,no,no,positive,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=6.03 (generic negative-log potency)
