activity_id,measurement_group_id,fc1_measurement_group_id,replicate_count,representation_count,measurement_representation_type,aggregation_method,aggregated_pEC50,aggregated_EC50_nM,canonical_molecule_id,parent_id,source_id,assay_id,assay_family,readout,cell_system,orthosteric_agonist,agonist_conc_or_ecxx,endpoint_type,endpoint_relation,potency_nM,pEC50,receptor_species,final_species_valid,final_identity_valid,potency_regression_eligible,unit_human_decision,row_human_decision,identity_decision,decision_provenance,divergent_duplicate_classification,divergent_duplicate_disposition,notes
ACTL00004,MG00016,MG00016,1,1,single,single,5.9208,1200.05,CM00034,PARENT0869,PMID_18772318,,GIRK/thallium,PAM potentiation (literature narrative),,acetylcholine,EC20,EC50,=,1200.0,5.9208,human_M4,yes,yes,yes,RU003:confirmed_quantitative_pam,"row:correct_direction=PAM,potency_regression_eligible=yes",,human_decisions.jsonl:RU003;human_row_decisions.jsonl:ACTL00004,,,"Literature narrative extraction (see compound notes) | human-confirmed M4 PAM EC50 in GIRK/thallium flux (HEK293 hM4 + GIRK1/2, EC20 ACh); receptor_species annotation 'human_M4' is narrative-origin and is resolved human by human decision RU003"
ACTL00005,MG00223,MG00223,1,1,single,single,5.7212,1900.2,CM00414,PARENT0232,PMID_18772318,,GIRK/thallium,PAM potentiation (literature narrative),,acetylcholine,EC20,EC50,=,1900.0,5.7212,human_M4,yes,yes,yes,RU003:confirmed_quantitative_pam,"row:correct_direction=PAM,potency_regression_eligible=yes",,human_decisions.jsonl:RU003;human_row_decisions.jsonl:ACTL00005,,,"Literature narrative extraction (see compound notes) | human-confirmed M4 PAM EC50 in GIRK/thallium flux (HEK293 hM4 + GIRK1/2, EC20 ACh); receptor_species annotation 'human_M4' is narrative-origin and is resolved human by human decision RU003"
ACT_10958292,MG00367,MG00367,1,1,single,single,5.74,1819.7,CM00675,PARENT0103,PMID_22738637,ASSY_CHEMBL2060895,calcium,PAM_functional_calcium,CHO-K1,acetylcholine,,EC50,=,1819.7,5.74,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=5.74 (generic negative-log potency)
ACT_10958295,MG00100,MG00100,1,1,single,single,5.87,1348.96,CM00182,PARENT0106,PMID_22738637,ASSY_CHEMBL2060895,calcium,PAM_functional_calcium,CHO-K1,acetylcholine,,EC50,=,1348.96,5.87,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=5.87 (generic negative-log potency)
ACT_10958311,MG00411,MG00411,1,1,single,single,5.63,2344.23,CM00759,PARENT0122,PMID_22738637,ASSY_CHEMBL2060895,calcium,PAM_functional_calcium,CHO-K1,acetylcholine,,EC50,=,2344.23,5.63,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=5.63 (generic negative-log potency)
ACT_10958312,MG00219,MG00219,1,1,single,single,5.89,1288.25,CM00408,PARENT0123,PMID_22738637,ASSY_CHEMBL2060895,calcium,PAM_functional_calcium,CHO-K1,acetylcholine,,EC50,=,1288.25,5.89,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=5.89 (generic negative-log potency)
ACT_10958314,MG00460,MG00460,1,1,single,single,5.95,1122.02,CM00847,PARENT0125,PMID_22738637,ASSY_CHEMBL2060895,calcium,PAM_functional_calcium,CHO-K1,acetylcholine,,EC50,=,1122.02,5.95,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=5.95 (generic negative-log potency)
ACT_10958326,MG00393,MG00393,1,1,single,single,5.15,7079.46,CM00717,PARENT0137,PMID_22738637,ASSY_CHEMBL2060895,calcium,PAM_functional_calcium,CHO-K1,acetylcholine,,EC50,=,7079.46,5.15,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=5.15 (generic negative-log potency)
ACT_10958338,MG00471,MG00471,1,1,single,single,5.11,7762.47,CM00865,PARENT0149,PMID_22738637,ASSY_CHEMBL2060895,calcium,PAM_functional_calcium,CHO-K1,acetylcholine,,EC50,=,7762.47,5.11,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=5.11 (generic negative-log potency)
ACT_10958347,MG00333,MG00333,1,1,single,single,5.55,2818.38,CM00620,PARENT0158,PMID_22738637,ASSY_CHEMBL2060895,calcium,PAM_functional_calcium,CHO-K1,acetylcholine,,EC50,=,2818.38,5.55,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=5.55 (generic negative-log potency)
