activity_id,parent_id,source_id,assay_id,canonical_molecule_id,canonical_inchikey,exclusion_category,final_modeling_role,exclusion_reason,decision_provenance,molecule_survives_elsewhere,notes
ACTL00001,PARENT0268,PMID_18678919,,CM00111,CTEGQKDJTBWFHW-UHFFFAOYSA-N,excluded_species_misassigned,excluded_species_misassigned,rat_annotated_value_misassigned_to_human_M4 (human decision RU002),human_decisions.jsonl:RU002;human_row_decisions.jsonl:ACTL00001,extended;extended:ago_PAM_auxiliary (LY2033298),Literature narrative extraction (see compound notes)
ACTL00003,PARENT0098,PMID_18059262,,CM00173,FPRULFHDSFKYBV-UHFFFAOYSA-N,excluded_nonhuman_misassigned,excluded_nonhuman_misassigned,rat_M4_potency_misassigned_to_human_M4_narrative_row (human decision RU001),human_decisions.jsonl:RU001;human_row_decisions.jsonl:ACTL00003,extended:qualitative_human_M4_PAM+rat_companion (VU10010),Literature narrative extraction (see compound notes)
ACTL00006,PARENT0870,PMID_23177787,,,,identity_failure_no_canonical_structure,identity_failure_no_canonical_structure,no canonical structure / unresolved identity,,no,Literature narrative extraction (see compound notes)
ACTL00007,PARENT0871,PMID_23177787,,,,identity_failure_no_canonical_structure,identity_failure_no_canonical_structure,no canonical structure / unresolved identity,,no,Literature narrative extraction (see compound notes)
ACTL00008,PARENT0194,PMID_23177787,,CM00796,XNCQMFVABACABG-UHFFFAOYSA-N,unresolved_primary_review_nonblocking,unresolved_primary_review_nonblocking,narrative row still requires primary-source review (no human decision),,strict;extended;molecule strict elsewhere: CM00796,Literature narrative extraction (see compound notes)
ACTL00009,PARENT0123,PMID_23762944,,CM00408,MADRUEVBYJEFFT-UHFFFAOYSA-N,unresolved_primary_review_nonblocking,unresolved_primary_review_nonblocking,narrative row still requires primary-source review (no human decision),,strict;extended;molecule strict elsewhere: CM00408,Literature narrative extraction (see compound notes)
ACTL00010,PARENT0312,PMID_25137629,,CM00666,UDSFKIFLJPECRN-UHFFFAOYSA-N,unresolved_primary_review_nonblocking,unresolved_primary_review_nonblocking,narrative row still requires primary-source review (no human decision),,strict;extended;molecule strict elsewhere: CM00666,Literature narrative extraction (see compound notes)
ACTL00013,PARENT0872,PMID_39140069,,CM00709,VGCWSYQSDJETQR-UHFFFAOYSA-N,identity_conflation_excluded,identity_conflation_excluded,compound_identity_activity_structure_conflation (human decision RU018),human_decisions.jsonl:RU018;human_row_decisions.jsonl:ACTL00013;human_identity_decisions.jsonl:PARENT0872,strict;extended,Literature narrative extraction (see compound notes)
ACTL00014,PARENT0697,PMID_31787491,,CM00268,IEJIRPHETNSCOC-UHFFFAOYSA-N,unresolved_primary_review_nonblocking,unresolved_primary_review_nonblocking,narrative row still requires primary-source review (no human decision),,strict;extended;molecule strict elsewhere: CM00268,Literature narrative extraction (see compound notes)
ACTL00021,PARENT0877,PMID_10860942,,CM00245,HKSZLNNOFSGOKW-FYTWVXJKSA-N,not_quantitative_unresolved,not_quantitative_unresolved,non-quantitative unresolved record,,no,Literature narrative extraction (see compound notes); no numeric endpoint value; excluded from quantitative modeling
