activity_id,canonical_molecule_id,parent_id,source_id,assay_id,readout,assay_family,endpoint_type,endpoint_relation,endpoint_value,potency_nM,efficacy_pct,fold_shift,receptor_species,evidence_tier,final_modeling_role,extended_category,strict_view_membership,species_caveat,notes
ACTL00001,CM00111,PARENT0268,PMID_18678919,,PAM potentiation (literature narrative),literature narrative,EC50,=,629.0,629.0,,,human_M4,CORE,excluded_species_misassigned,ago_pam_auxiliary_qualitative_human_M4,,629 nM is rat-annotated narrative value (human assignment invalid); LY2033298 retains human-M4 ago-PAM / auxiliary qualitative evidence; do NOT use 629 nM as human potency,Literature narrative extraction (see compound notes)
ACTL00003,CM00173,PARENT0098,PMID_18059262,,PAM potentiation (literature narrative),literature narrative,EC50,=,400.0,400.0,,,human_M4,CORE,excluded_nonhuman_misassigned,nonhuman_companion_rat_400nM + qualitative_human_M4_PAM,,400 nM is RAT M4 potency (not human); qualitative human-M4 PAM evidence is censored 'Active' in human M4 PAM calcium assay; do NOT use 400 nM as human potency,Literature narrative extraction (see compound notes)
ACT_10958293,CM00421,PARENT0104,PMID_22738637,ASSY_CHEMBL2060895,PAM_functional_calcium,calcium,EC50,>,10000.0,10000.0,,,Homo sapiens,CORE,threshold_only_bound,threshold_only_bound,threshold_negative,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; censored endpoint bound; relation preserved; assay-context negative result; same parent has PAM evidence in other assay contexts - not a parent-level inactivity declaration
ACT_10958296,CM00507,PARENT0107,PMID_22738637,ASSY_CHEMBL2060895,PAM_functional_calcium,calcium,EC50,>,10000.0,10000.0,,,Homo sapiens,CORE,threshold_only_bound,threshold_only_bound,threshold_negative,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; censored endpoint bound; relation preserved; assay-context negative result; same parent has PAM evidence in other assay contexts - not a parent-level inactivity declaration
ACT_10958300,CM00559,PARENT0111,PMID_22738637,ASSY_CHEMBL2060895,PAM_functional_calcium,calcium,EC50,>,10000.0,10000.0,,,Homo sapiens,CORE,threshold_only_bound,threshold_only_bound,threshold_negative,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; censored endpoint bound; relation preserved; assay-context negative result; same parent has PAM evidence in other assay contexts - not a parent-level inactivity declaration
ACT_10958301,CM00490,PARENT0112,PMID_22738637,ASSY_CHEMBL2060895,PAM_functional_calcium,calcium,EC50,>,10000.0,10000.0,,,Homo sapiens,CORE,threshold_only_bound,threshold_only_bound,threshold_negative,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; censored endpoint bound; relation preserved; assay-context negative result; same parent has PAM evidence in other assay contexts - not a parent-level inactivity declaration
ACT_10958303,CM00557,PARENT0114,PMID_22738637,ASSY_CHEMBL2060895,PAM_functional_calcium,calcium,EC50,>,10000.0,10000.0,,,Homo sapiens,CORE,threshold_only_bound,threshold_only_bound,threshold_negative,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; censored endpoint bound; relation preserved; assay-context negative result; same parent has PAM evidence in other assay contexts - not a parent-level inactivity declaration
ACT_10958305,CM00870,PARENT0116,PMID_22738637,ASSY_CHEMBL2060895,PAM_functional_calcium,calcium,EC50,>,10000.0,10000.0,,,Homo sapiens,CORE,threshold_only_bound,threshold_only_bound,threshold_negative,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; censored endpoint bound; relation preserved; assay-context negative result; same parent has PAM evidence in other assay contexts - not a parent-level inactivity declaration
ACT_10958306,CM00412,PARENT0117,PMID_22738637,ASSY_CHEMBL2060895,PAM_functional_calcium,calcium,EC50,>,10000.0,10000.0,,,Homo sapiens,CORE,threshold_only_bound,threshold_only_bound,threshold_negative,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; censored endpoint bound; relation preserved; assay-context negative result; same parent has PAM evidence in other assay contexts - not a parent-level inactivity declaration
ACT_10958307,CM00863,PARENT0118,PMID_22738637,ASSY_CHEMBL2060895,PAM_functional_calcium,calcium,EC50,>,10000.0,10000.0,,,Homo sapiens,CORE,threshold_only_bound,threshold_only_bound,threshold_negative,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; censored endpoint bound; relation preserved; assay-context negative result; same parent has PAM evidence in other assay contexts - not a parent-level inactivity declaration
