array_id,system,replica,seed,target_ns,stage,claim_boundary
0,apo,1,27101,5,phase1_qc,not_functional_evidence
1,probe_only,1,27101,5,phase1_qc,not_functional_evidence
2,LY2119620__candidate_no_probe,1,27101,5,phase1_qc,not_functional_evidence
3,LY2119620__candidate_probe,1,27101,5,phase1_qc,not_functional_evidence
4,compound110__candidate_no_probe,1,27101,5,phase1_qc,not_functional_evidence
5,compound110__candidate_probe,1,27101,5,phase1_qc,not_functional_evidence
6,apo,2,38201,5,phase1_qc,not_functional_evidence
7,probe_only,2,38201,5,phase1_qc,not_functional_evidence
8,LY2119620__candidate_no_probe,2,38201,5,phase1_qc,not_functional_evidence
9,LY2119620__candidate_probe,2,38201,5,phase1_qc,not_functional_evidence
10,compound110__candidate_no_probe,2,38201,5,phase1_qc,not_functional_evidence
11,compound110__candidate_probe,2,38201,5,phase1_qc,not_functional_evidence
12,apo,3,49301,5,phase1_qc,not_functional_evidence
13,probe_only,3,49301,5,phase1_qc,not_functional_evidence
14,LY2119620__candidate_no_probe,3,49301,5,phase1_qc,not_functional_evidence
15,LY2119620__candidate_probe,3,49301,5,phase1_qc,not_functional_evidence
16,compound110__candidate_no_probe,3,49301,5,phase1_qc,not_functional_evidence
17,compound110__candidate_probe,3,49301,5,phase1_qc,not_functional_evidence
