run_id,candidate_id,context,replicate_id,role,canonical_smiles,receptor_template,orthosteric_probe,allosteric_ligand,ligand_pose_source,production_ns_initial,extension_policy,paired_seed_group,status
SHARED_CONTROL__probe_only__r1,SHARED_CONTROL,probe_only,paired_seed_1,shared_context_control,,7TRS,ACh,none,not_applicable,100,extend_to_500ns_if_endpoint_CI_or_state_ESS_fails_frozen_QC,1,not_started
SHARED_CONTROL__probe_only__r2,SHARED_CONTROL,probe_only,paired_seed_2,shared_context_control,,7TRS,ACh,none,not_applicable,100,extend_to_500ns_if_endpoint_CI_or_state_ESS_fails_frozen_QC,2,not_started
SHARED_CONTROL__probe_only__r3,SHARED_CONTROL,probe_only,paired_seed_3,shared_context_control,,7TRS,ACh,none,not_applicable,100,extend_to_500ns_if_endpoint_CI_or_state_ESS_fails_frozen_QC,3,not_started
SHARED_CONTROL__apo__r1,SHARED_CONTROL,apo,paired_seed_1,shared_context_control,,7TRS,none,none,not_applicable,100,extend_to_500ns_if_endpoint_CI_or_state_ESS_fails_frozen_QC,1,not_started
SHARED_CONTROL__apo__r2,SHARED_CONTROL,apo,paired_seed_2,shared_context_control,,7TRS,none,none,not_applicable,100,extend_to_500ns_if_endpoint_CI_or_state_ESS_fails_frozen_QC,2,not_started
SHARED_CONTROL__apo__r3,SHARED_CONTROL,apo,paired_seed_3,shared_context_control,,7TRS,none,none,not_applicable,100,extend_to_500ns_if_endpoint_CI_or_state_ESS_fails_frozen_QC,3,not_started
LY2119620__candidate_probe__r1,LY2119620,candidate_probe,paired_seed_1,known_PAM_positive_control,Cc1c(Cl)c(OCC(=O)N2CCN(C)CC2)nc2sc(C(=O)NC3CC3)c(N)c12,7TRS,ACh,LY2119620,7V68,100,extend_to_500ns_if_endpoint_CI_or_state_ESS_fails_frozen_QC,1,not_started
LY2119620__candidate_probe__r2,LY2119620,candidate_probe,paired_seed_2,known_PAM_positive_control,Cc1c(Cl)c(OCC(=O)N2CCN(C)CC2)nc2sc(C(=O)NC3CC3)c(N)c12,7TRS,ACh,LY2119620,7V68,100,extend_to_500ns_if_endpoint_CI_or_state_ESS_fails_frozen_QC,2,not_started
LY2119620__candidate_probe__r3,LY2119620,candidate_probe,paired_seed_3,known_PAM_positive_control,Cc1c(Cl)c(OCC(=O)N2CCN(C)CC2)nc2sc(C(=O)NC3CC3)c(N)c12,7TRS,ACh,LY2119620,7V68,100,extend_to_500ns_if_endpoint_CI_or_state_ESS_fails_frozen_QC,3,not_started
LY2119620__candidate_no_probe__r1,LY2119620,candidate_no_probe,paired_seed_1,known_PAM_positive_control,Cc1c(Cl)c(OCC(=O)N2CCN(C)CC2)nc2sc(C(=O)NC3CC3)c(N)c12,7TRS,none,LY2119620,7V68,100,extend_to_500ns_if_endpoint_CI_or_state_ESS_fails_frozen_QC,1,not_started
LY2119620__candidate_no_probe__r2,LY2119620,candidate_no_probe,paired_seed_2,known_PAM_positive_control,Cc1c(Cl)c(OCC(=O)N2CCN(C)CC2)nc2sc(C(=O)NC3CC3)c(N)c12,7TRS,none,LY2119620,7V68,100,extend_to_500ns_if_endpoint_CI_or_state_ESS_fails_frozen_QC,2,not_started
LY2119620__candidate_no_probe__r3,LY2119620,candidate_no_probe,paired_seed_3,known_PAM_positive_control,Cc1c(Cl)c(OCC(=O)N2CCN(C)CC2)nc2sc(C(=O)NC3CC3)c(N)c12,7TRS,none,LY2119620,7V68,100,extend_to_500ns_if_endpoint_CI_or_state_ESS_fails_frozen_QC,3,not_started
compound110__candidate_probe__r1,compound110,candidate_probe,paired_seed_1,allosteric_agonist_specificity_control,COC(=O)N1CCC(N2CCC(n3c(=O)n(C)c4ccccc43)CC2)CC1,7TRS,ACh,compound110,7V6A,100,extend_to_500ns_if_endpoint_CI_or_state_ESS_fails_frozen_QC,1,not_started
compound110__candidate_probe__r2,compound110,candidate_probe,paired_seed_2,allosteric_agonist_specificity_control,COC(=O)N1CCC(N2CCC(n3c(=O)n(C)c4ccccc43)CC2)CC1,7TRS,ACh,compound110,7V6A,100,extend_to_500ns_if_endpoint_CI_or_state_ESS_fails_frozen_QC,2,not_started
compound110__candidate_probe__r3,compound110,candidate_probe,paired_seed_3,allosteric_agonist_specificity_control,COC(=O)N1CCC(N2CCC(n3c(=O)n(C)c4ccccc43)CC2)CC1,7TRS,ACh,compound110,7V6A,100,extend_to_500ns_if_endpoint_CI_or_state_ESS_fails_frozen_QC,3,not_started
compound110__candidate_no_probe__r1,compound110,candidate_no_probe,paired_seed_1,allosteric_agonist_specificity_control,COC(=O)N1CCC(N2CCC(n3c(=O)n(C)c4ccccc43)CC2)CC1,7TRS,none,compound110,7V6A,100,extend_to_500ns_if_endpoint_CI_or_state_ESS_fails_frozen_QC,1,not_started
compound110__candidate_no_probe__r2,compound110,candidate_no_probe,paired_seed_2,allosteric_agonist_specificity_control,COC(=O)N1CCC(N2CCC(n3c(=O)n(C)c4ccccc43)CC2)CC1,7TRS,none,compound110,7V6A,100,extend_to_500ns_if_endpoint_CI_or_state_ESS_fails_frozen_QC,2,not_started
compound110__candidate_no_probe__r3,compound110,candidate_no_probe,paired_seed_3,allosteric_agonist_specificity_control,COC(=O)N1CCC(N2CCC(n3c(=O)n(C)c4ccccc43)CC2)CC1,7TRS,none,compound110,7V6A,100,extend_to_500ns_if_endpoint_CI_or_state_ESS_fails_frozen_QC,3,not_started
PACER0076__candidate_probe__r1,PACER0076,candidate_probe,paired_seed_1,prospective_computational_hypothesis,Cc1cc2nncn2c2sc(C(=O)NC3CN(c4cncc(F)c4)C3)c(N)c12,7TRS,ACh,PACER0076,7TRS_common_pocket_pose_proposal,100,extend_to_500ns_if_endpoint_CI_or_state_ESS_fails_frozen_QC,1,not_started
